Rank,ParameterSet,TestF1_Mean,CV_percent
1,SelectedFeatures,0.894115184862884,2.8439501049502
2,TestRatioComparison,0.88395644230375,2.34359845631602
3,PopulationSizes,0.883243667134976,2.53473468799753
4,OffspringRatio,0.880440043040043,2.14658218769142
5,TreesComparison,0.877566635393291,3.26119389315973
