ParameterSet,TestF1_Mean,TestF1_Std,TestAcc_Mean,TestAcc_Std,TrainF1_Mean,TrainF1_Std,PolyArea_Mean,PolyArea_Std,CV_percent,Configs,Runs
PopulationSizes,0.883243667134976,0.0223878836104117,0.883125,0.0221296270808354,0.89870444717367,0.0174686066824713,0.7534968070856,0.0430435038248307,2.53473468799753,25,20
OffspringRatio,0.880440043040043,0.0188993691372003,0.8796875,0.0187088363938147,0.89806817414299,0.0141590273801839,0.747179132371406,0.0361114832404528,2.14658218769142,25,20
TestRatioComparison,0.88395644230375,0.0207163895363367,0.885,0.0197350876413186,0.901768241105126,0.0184657507135245,0.756097661790186,0.0383640012087868,2.34359845631602,5,20
TreesComparison,0.877566635393291,0.0286191495218533,0.87890625,0.0270324146007111,0.905511209314387,0.0164430003617193,0.744769769818339,0.0511111101169322,3.26119389315973,4,20
SelectedFeatures,0.894115184862884,0.0254281897382837,0.895,0.0251925153358566,0.91456731691372,0.0144544383319547,0.77593417463844,0.0490887507438179,2.8439501049502,4,20
